genera	gene_id
Salmonella	MYO3A
Roseburia	KCNF1
Turicibacter	RPS6KA3
Solobacterium	CAMK2G
Weissella	MAT2A
Bilophila	GSR
Desulfovibrio	FGFR1
Akkermansia	NDUFS1
Anaerofustis	HSD17B4
Peptostreptococcus	GLUD2
Pseudoflavonifractor	GATB
Porphyromonas	HSD17B10
Holdemania	TEK
Alistipes	ABCC9
Akkermansia	MAP3K3
Bacteroides	ATP6V1A
Anaerotruncus	STK10
Odoribacter	FDPS
Proteus	NDUFV2
Enterococcus	DAPK1
Anaerostipes	ATP1A3
Proteus	HSD11B2
Slackia	MAP3K10
Coprococcus	ACSL4
Leuconostoc	PAICS
Parabacteroides	PRKD1
Bifidobacterium	IDH3A
Bifidobacterium	ABCB5
Aeromonas	IDH3B
Actinomyces	PDXP
Dorea	JAK2
Subdoligranulum	PRKAA1
Megasphaera	SLC5A8
Coprococcus	STK39
Coprococcus	FER
Actinomyces	YES1
Oribacterium	IGF1R
Odoribacter	VARS
Succinatimonas	AKR1C3
Blautia	BMX
Megasphaera	HINT1
Coprococcus	JAK3
Actinomyces	MKNK1
Victivallis	MARK2
Butyrivibrio	FES
Citrobacter	PYGL
Citrobacter	DPYD
Bacteroides	SI
Butyrivibrio	MAPK1
Lactobacillus	STK10
Anaerofustis	PLK4
Ruminococcus	HIBADH
Achromobacter	ABCB11
Fusobacterium	TYRO3
Alistipes	GLDC
Actinobacillus	CFTR
Clostridium	SLC1A2
Anaerostipes	FASN
Actinomyces	NEK4
Anaerotruncus	PKN2
Anaerococcus	FRK
Mitsuokella	PPIF
Veillonella	SRMS
Proteus	GPD1
Anaerotruncus	RET
Porphyromonas	ITPA
Blautia	TXK
Anaerotruncus	ADH1C
Ruminococcus	CTSL
Gemella	EARS2
Streptococcus	GANAB
Slackia	DAPK2
Dorea	ADA
Anaerofustis	SLC6A1
Eggerthella	HINT1
Enterobacter	SUCLG2
Lactococcus	PHGDH
Fusobacterium	ACADSB
Acidaminococcus	IRAK1
Anaerofustis	PRKACA
Escherichia	XDH
Bifidobacterium	SBK1
Providencia	GPX3
Holdemania	ITK
Butyrivibrio	LYN
Blautia	HLCS
Enterococcus	SI
Escherichia	NUAK1
Akkermansia	NME1
Actinomyces	DNPEP
Lactococcus	FGR
Alistipes	HSD17B4
Anaerococcus	SLC1A5
Anaerotruncus	POLR2A
Selenomonas	INSRR
Ureaplasma	ABCB1
Gemella	STK17B
Selenomonas	MAPK11
Roseburia	SGK3
Fusobacterium	ATP1A3
Holdemania	ATP4A
Megasphaera	STK10
Leuconostoc	MARK1
Lactococcus	EIF2AK4
Akkermansia	ALDH4A1
Pseudoflavonifractor	MAST1
Butyrivibrio	MELK
Succinatimonas	HIBADH
Odoribacter	LDHA
Gemella	ATP1A2
Mitsuokella	ATP2C1
Blautia	SLC5A1
Alistipes	IMPA1
Roseburia	IMPDH1
Citrobacter	SLC1A7
Pseudoflavonifractor	NARS2
